"average_utility","min_utility","max_utility","generation"
2684,2166,2713,605
2684,2166,2713,606
2684,2166,2713,607
2684,2166,2713,608
2684,2166,2713,609
2684,2166,2713,610
2684,2166,2713,611
2684,2166,2713,612
2684,2166,2713,613
2684,2166,2713,614
2684,2166,2713,615
2684,2166,2713,616
2684,2166,2713,617
2684,2166,2713,618
2684,2166,2713,619
2684,2166,2713,620
2684,2166,2713,621
2684,2166,2713,622
2684,2166,2713,623
2684,2166,2713,624
2684,2166,2713,625
2684,2166,2713,626
2684,2166,2713,627
2684,2166,2713,628
2684,2166,2713,629
2684,2166,2713,630
2684,2166,2713,631
2684,2166,2713,632
2684,2166,2713,633
2684,2166,2713,634
2684,2166,2713,635
2684,2166,2713,636
2684,2166,2713,637
2684,2166,2713,638
2684,2166,2713,639
2684,2166,2713,640
2684,2166,2713,641
2684,2166,2713,642
2684,2166,2713,643
2684,2166,2713,644
2684,2166,2713,645
2684,2166,2713,646
2684,2166,2713,647
2684,2166,2713,648
2684,2166,2713,649
2684,2166,2713,650
2684,2166,2713,651
2684,2166,2713,652
2684,2166,2713,653
2684,2166,2713,654
2684,2166,2713,655
2684,2166,2713,656
2684,2166,2713,657
2684,2166,2713,658
2684,2166,2713,659
2684,2166,2713,660
2684,2166,2713,661
2684,2166,2713,662
2684,2166,2713,663
2684,2166,2713,664
2684,2166,2713,665
2684,2166,2713,666
2684,2166,2713,667
2684,2166,2713,668
2684,2166,2713,669
2684,2166,2713,670
2684,2166,2713,671
2684,2166,2713,672
2684,2166,2713,673
2684,2166,2713,674
2684,2166,2713,675
2684,2166,2713,676
2684,2166,2713,677
2684,2166,2713,678
2684,2166,2713,679
2684,2166,2713,680
2684,2166,2713,681
2684,2166,2713,682
2684,2166,2713,683
2684,2166,2713,684
2684,2166,2713,685
2684,2166,2713,686
2684,2166,2713,687
2684,2166,2713,688
2684,2166,2713,689
